State Name,Year,"Abortion must be performed by licensed physician? (1=yes, 0=no)","Some abortions required to be performed in a hospital? (1=yes, 0=no)","Some abortions require involvement of second physician? (1=yes, 0=no)","Gestational limit on abortions? (1=yes, 0=no)","State has law prohibiting partial birth abortion in effect? (1=yes, 0=no)","State uses own funds to pay for abortions beyond required federal minimum? (1=yes, 0=no)","State restricts coverage of abortion in private insurance plans to cases in which woman's life would be endangered (and other limited cases)? (1=yes, 0=no)","State mandated waiting period before abortion? (1=yes, 0=no)","State requires parental notification and/or consent for minor's decision to have an abortion? (1=yes, 0=no) (note: does not count if attending physician may waive at will)","State requires parental consent for minor's decision to have an abortion? (1=yes, 0=no) (note: does not count if attending physician may waive at will)",Parental notification & consent index (Pnotif+pcons),
State,Year,Plicphys,Phosp,Psecphys,Pgestlim,Pparbth,Ppubfund,Pprivins,Pwait,Pnotif,Pcons,Pminors,
Alabama,2000,1,,1,1,1,0,0,0,1,1,2,
Alaska,2000,1,,0,0,0,1,0,0,0,0,0,
Arizona,2000,0,,1,1,0,1,0,0,0,0,0,
Arkansas,2000,1,1,1,1,0,0,0,0,1,0,1,
California,2000,1,,0,1,0,1,0,0,0,0,0,
Colorado,2000,1,,0,0,0,0,0,0,0,0,0,
Connecticut,2000,1,,0,1,0,1,0,0,0,0,0,
Delaware,2000,1,,0,1,0,0,0,0,1,0,1,
Florida,2000,1,,1,1,0,0,0,0,0,0,0,
Georgia,2000,1,,1,1,1,0,0,0,1,0,1,
Hawaii,2000,1,,0,0,0,1,0,0,0,0,0,
Idaho,2000,1,,1,1,0,0,1,1,0,0,0,
Illinois,2000,1,,1,1,0,1,0,0,0,0,0,
Indiana,2000,1,,1,1,0,1,0,1,1,1,2,
Iowa,2000,1,,0,1,0,0,0,0,1,0,1,
Kansas,2000,0,,1,1,0,0,0,1,1,0,1,
Kentucky,2000,1,,0,1,0,0,1,1,1,1,2,
Louisiana,2000,1,,0,1,0,0,0,1,1,1,2,
Maine,2000,1,,0,1,0,0,0,0,0,0,0,
Maryland,2000,1,,0,1,0,1,0,0,1,0,1,
Massachusetts,2000,1,,0,1,0,1,0,0,1,1,2,
Michigan,2000,1,,0,1,0,0,0,1,1,1,2,
Minnesota,2000,1,,1,1,0,1,0,0,1,0,1,
Mississippi,2000,1,,0,0,0,0,0,1,1,1,2,
Missouri,2000,1,,1,1,0,0,1,0,1,1,2,
Montana,2000,0,,1,1,0,1,0,0,0,0,0,
Nebraska,2000,1,,0,1,0,0,0,1,1,0,1,
Nevada,2000,1,,0,1,0,0,0,0,0,0,0,
New Hampshire,2000,0,,0,0,0,0,0,0,0,0,0,
New Jersey,2000,1,,0,0,0,1,0,0,0,0,0,
New Mexico,2000,1,,0,0,0,1,0,0,0,0,0,
New York,2000,1,,1,1,0,1,0,0,0,0,0,
North Carolina,2000,1,,0,1,0,0,0,0,1,1,2,
North Dakota,2000,1,,1,1,0,0,1,1,1,1,2,
Ohio,2000,1,,0,0,0,0,0,1,1,0,1,
Oklahoma,2000,1,,1,1,0,0,0,0,0,0,0,
Oregon,2000,0,,0,0,0,1,0,0,0,0,0,
Pennsylvania,2000,1,,1,1,0,0,0,1,1,1,2,
Rhode Island,2000,1,,0,1,0,0,0,0,1,1,2,
South Carolina,2000,1,,1,1,0,0,0,1,1,1,2,
South Dakota,2000,1,,0,1,0,0,0,1,1,0,1,
Tennessee,2000,1,,0,1,0,0,0,1,1,1,2,
Texas,2000,1,,0,1,0,1,0,0,1,0,1,
Utah,2000,1,,0,1,1,0,0,1,1,0,1,
Vermont,2000,0,,0,0,0,1,0,0,0,0,0,
Virginia,2000,1,,1,1,0,0,0,0,1,0,1,
Washington,2000,1,,0,1,0,1,0,0,0,0,0,
West Virginia,2000,0,,0,0,0,1,0,0,1,0,1,
Wisconsin,2000,1,,0,1,0,0,0,1,1,1,2,
Wyoming,2000,1,,0,1,0,0,0,0,1,1,2,
