Table 1
Year ,Pro-Choice %,Pro-Life %,Mixed/Neither %,Don’t know what the terms mean %,No opinion
2022,55,39,4,1,Nah
2021,49,47,2,1,1
2020,48,46,4,2,Nah
2019,46,49,2,2,2
2018,48,48,2,2,1
2017,49,46,2,2,1
2016,47,46,3,3,2
2015,50,44,3,2,1
2014,47,46,3,3,Nah
2013,45,48,3,3,2
2012,41,50,4,3,3
2011,46,48,2,3,2
2010,45,45,2,4,4
2009,46,47,2,2,2
2008,50,51,1,2,2
2007,49,45,3,2,2
2006,51,41,4,2,3
2005,48,44,3,3,2
2004,49,44,2,3,2
2003,48,45,2,4,1
2002,47,46,3,3,1
2001,46,46,4,3,2
2000,48,43,2,4,3
1999,48,42,3,4,3
1998,48,45,3,2,2
1997,51,44,3,3,3
1996,53,36,5,3,3
1995,56,33,5,3,3
