Overview: Table 1
,,,,,,,,,
,,,,,,,,,
,Statistic as Excel data file,,,,,,,,
,"Share of adults in the United States who support abortion in 2022, by political party and level of legalization",,,,,,,,
,Access data,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Source,,,Description,,,,,
,,,,"It is perhaps no surprise that adults in the United States who identify as Democrats are far more likely to favor the legalization of abortion, with 57 percent of Democrats surveyed in 2022 supporting the legalization of abortion under any circumstance. This position was supported by only 10 percent of Republicans.",,,,,
,Source,Gallup,,,,,,,
,Conducted by,Gallup,,,,,,,
,Survey period,"May 2 to 22, 2022",,,,,,,
,Region,United States,,,,,,,
,Type of survey,Telephone interview,,,,,,,
,Number of respondents,"1,007",,,,,,,
,Age group,18 years and older,,,,,,,
,Special characteristics,n.a.,,,,,,,
,Note,"Original question: Do you think abortions should be legal under any circumstances, legal only under certain circumstances, or illegal in all circumstances?
(If say ""legal only under certain circumstances:) Do you think abortion should be legal in most circumstances or only in a few circumstances?
 Responses of legal-unspecified/no opinion not shown.
 Release date represents the date figures were accessed. 
",,,,,,,
,,,,,,,,,
,Publication,,,,,,,,
,,,,,,,,,
,Published by,Gallup,,,,,,,
,Publication date,June 2022,,,,,,,
,Original source,gallup.com,,,,,,,
,ID,1079467,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,

Data: Table 1
,,,,,,
,,,,,,
,Support for abortion by party and level of legalization U.S. 2022,,,,,
,"Share of adults in the United States who support abortion in 2022, by political party and level of legalization",,,,,
,,Legal in all circumstances,Legal in most circumstances,Legal in only a few circumstances,Illegal in all circumstances,
,Republican,10,14,52,22,in %
,Independent,36,15,33,13,in %
,Democrat,57,25,13,4,in %
