ageban,WEIGHT,northeast,south,midwest,female,white,nonwhite,hsgrad,somecoll,colgrad,idR,idD,idI,survey,year,stname,monthst,dayst,monthend,dayend
50-64,.30537263,0,0,0,0,0,1,1,0,0,1,0,0,2017-31116496,2016,New Mexico,8,4,10,2
30-49,.50181687,0,1,0,1,1,0,1,1,1,0,0,1,2017-31116496,2016,Arkansas,8,4,10,2
50-64,.33804053,0,1,0,1,0,1,1,1,0,0,1,0,2017-31116496,2016,Virginia,8,4,10,2
30-49,.5004195,0,0,0,1,1,0,1,1,1,0,0,1,2017-31116496,2016,Arizona,8,4,10,2
30-49,.92285603,0,0,0,0,0,1,1,1,1,1,0,0,2017-31116496,2016,Arizona,8,4,10,2
50-64,.28263468,0,0,1,1,1,0,1,1,0,0,0,1,2017-31116496,2016,Ohio,8,4,10,2
50-64,.38446826,0,0,1,1,1,0,1,1,0,1,0,0,2017-31116496,2016,Indiana,8,4,10,2
50-64,.28759792,0,0,0,1,1,0,1,1,1,0,1,0,2017-31116496,2016,California,8,4,10,2
65+,.62873024,1,0,0,1,1,0,1,0,0,0,0,1,2017-31116496,2016,New York,8,4,10,2
65+,1.308019,0,1,0,1,0,1,1,1,0,0,1,0,2017-31116496,2016,Texas,8,4,10,2
30-49,.94146329,0,0,1,0,.a,.a,1,0,0,0,0,1,2017-31116496,2016,Ohio,8,4,10,2
50-64,.35767421,0,1,0,0,1,0,1,1,1,0,0,1,2017-31116496,2016,Virginia,8,4,10,2
30-49,1.9695034,0,0,0,0,0,1,1,1,0,.a,.a,.a,2017-31116496,2016,California,8,4,10,2
30-49,1.6640757,0,1,0,0,1,0,1,1,0,0,0,1,2017-31116496,2016,North Carolina,8,4,10,2
65+,.2530843,0,0,0,0,1,0,1,1,0,0,1,0,2017-31116496,2016,Washington,8,4,10,2
18-29,.77254653,1,0,0,1,1,0,1,1,0,0,1,0,2017-31116496,2016,Massachusetts,8,4,10,2
65+,2.5584037,0,1,0,1,1,0,0,0,0,1,0,0,2017-31116496,2016,Alabama,8,4,10,2
18-29,2.8268735,0,1,0,1,1,0,1,1,0,1,0,0,2017-31116496,2016,Kentucky,8,4,10,2
65+,.97799653,0,0,0,0,0,1,1,0,0,0,1,0,2017-31116496,2016,Arizona,8,4,10,2
65+,.41502425,0,0,0,0,1,0,1,1,1,0,1,0,2017-31116496,2016,California,8,4,10,2
65+,.57986319,1,0,0,1,0,1,1,1,0,0,1,0,2017-31116496,2016,Pennsylvania,8,4,10,2
30-49,1.84802,0,0,1,1,0,1,1,1,1,0,1,0,2017-31116496,2016,Minnesota,8,4,10,2
65+,1.2083116,0,1,0,0,0,1,1,0,0,0,1,0,2017-31116496,2016,Texas,8,4,10,2
50-64,.96009481,0,1,0,1,1,0,1,1,1,1,0,0,2017-31116496,2016,South Carolina,8,4,10,2
30-49,.87749887,0,0,0,1,1,0,1,1,1,0,1,0,2017-31116496,2016,California,8,4,10,2
50-64,.62731665,0,1,0,1,1,0,1,1,0,1,0,0,2017-31116496,2016,Virginia,8,4,10,2
65+,1.3959231,0,0,1,0,1,0,1,0,0,1,0,0,2017-31116496,2016,Minnesota,8,4,10,2
30-49,.75435036,0,1,0,1,1,0,1,1,1,0,0,1,2017-31116496,2016,Florida,8,4,10,2
65+,.45220834,0,0,1,1,1,0,1,1,0,0,0,1,2017-31116496,2016,Wisconsin,8,4,10,2
65+,.3304818,0,1,0,0,1,0,1,1,1,1,0,0,2017-31116496,2016,Georgia,8,4,10,2
30-49,1.1099912,0,1,0,0,1,0,1,1,0,1,0,0,2017-31116496,2016,Alabama,8,4,10,2
30-49,.81336832,0,1,0,1,1,0,1,1,1,1,0,0,2017-31116496,2016,Texas,8,4,10,2
50-64,.54399294,0,1,0,0,1,0,1,0,0,1,0,0,2017-31116496,2016,Florida,8,4,10,2
65+,.50568169,1,0,0,0,1,0,1,0,0,0,1,0,2017-31116496,2016,New York,8,4,10,2
65+,.34619579,0,1,0,1,0,1,1,1,0,1,0,0,2017-31116496,2016,Florida,8,4,10,2
50-64,1.0729131,0,1,0,0,1,0,1,1,1,1,0,0,2017-31116496,2016,Alabama,8,4,10,2
50-64,.52330732,0,0,0,0,1,0,1,0,0,1,0,0,2017-31116496,2016,Nevada,8,4,10,2
65+,.20393097,0,0,0,0,1,0,1,1,1,1,0,0,2017-31116496,2016,California,8,4,10,2
